,NAICSCode, ProjectCountyName , JobsReported , CurrentApprovalAmount , ForgivenessAmount ,business_type,% of loan forgiven
780,722511," 1,212 "," 28,605 "," 140,338,390 "," 30,082,178 ",Full-Service Restaurants,21%
781,722513, 428 ," 11,395 "," 50,399,877 "," 16,560,256 ",Limited-Service Restaurants,33%
710,621111, 509 ," 10,818 "," 128,963,793 "," 48,940,769 ",Offices of Physicians (except Mental Health Specialists),38%
604,541110, 718 ," 6,122 "," 85,878,161 "," 36,651,433 ",Offices of Lawyers,43%
732,623110, 46 ," 5,564 "," 43,519,785 "," 4,192,684 ",Nursing Care Facilities (Skilled Nursing Facilities),10%
414,441110, 78 ," 5,504 "," 60,685,107 "," 12,929,557 ",New Car Dealers,21%
770,721110, 192 ," 5,188 "," 34,807,001 "," 7,390,320 ",Hotels (except Casino Hotels) and Motels,21%
712,621210, 429 ," 5,180 "," 43,410,059 "," 16,105,634 ",Offices of Dentists,37%
816,813110, 392 ," 4,584 "," 25,532,344 "," 12,736,983 ",Religious Organizations,50%
693,611110, 69 ," 4,039 "," 34,125,374 "," 18,054,710 ",Elementary and Secondary Schools,53%
767,713940, 263 ," 3,986 "," 11,114,606 "," 4,350,558 ",Fitness and Recreational Sports Centers,39%
745,624410, 270 ," 3,588 "," 17,149,128 "," 5,040,732 ",Child Day Care Services,29%
725,621610, 110 ," 3,549 "," 21,507,529 "," 10,141,615 ",Home Health Care Services,47%
75,238220, 268 ," 3,210 "," 46,087,499 "," 19,559,346 ","Plumbing, Heating, and Air-Conditioning Contractors",42%
803,812112, 895 ," 3,002 "," 19,536,647 "," 3,470,792 ",Beauty Salons,18%
59,236220, 200 ," 2,968 "," 37,701,400 "," 10,960,459 ",Commercial and Institutional Building Construction,29%
84,238990, 221 ," 2,861 "," 35,651,735 "," 10,551,538 ",All Other Specialty Trade Contractors,30%
74,238210, 186 ," 2,739 "," 38,207,276 "," 8,849,175 ",Electrical Contractors and Other Wiring Installation Contractors,23%
657,561320, 33 ," 2,565 "," 18,783,764 "," 2,327,820 ",Temporary Help Services,12%
678,561720, 221 ," 2,547 "," 10,794,792 "," 3,829,306 ",Janitorial Services,35%
489,484110, 189 ," 2,407 "," 29,214,015 "," 8,967,397 ","General Freight Trucking, Local",31%
664,561440, 122 ," 2,366 "," 20,404,253 "," 7,604,254 ",Collection Agencies,37%
475,453998, 348 ," 2,290 "," 16,032,000 "," 5,457,530 ",All Other Miscellaneous Store Retailers (except Tobacco Stores),34%
679,561730, 357 ," 2,140 "," 15,790,792 "," 4,923,849 ",Landscaping Services,31%
650,541990, 234 ," 2,052 "," 21,894,658 "," 5,833,544 ","All Other Professional, Scientific, and Technical Services",27%
777,722320, 146 ," 2,024 "," 12,847,366 "," 1,659,985 ",Caterers,13%
57,236118, 400 ," 1,983 "," 16,595,844 "," 4,990,535 ",Residential Remodelers,30%
613,541330, 108 ," 1,948 "," 27,536,307 "," 8,897,536 ",Engineering Services,32%
716,621340, 128 ," 1,904 "," 15,298,020 "," 3,940,024 ","Offices of Physical, Occupational and Speech Therapists, and Audiologists",26%
587,531311, 132 ," 1,779 "," 14,628,553 "," 5,629,062 ",Residential Property Managers,38%
779,722410, 153 ," 1,736 "," 6,119,553 "," 1,179,009 ",Drinking Places (Alcoholic Beverages),19%
433,445110, 112 ," 1,732 "," 8,227,522 "," 4,183,733 ",Supermarkets and Other Grocery (except Convenience) Stores,51%
572,524210, 369 ," 1,722 "," 18,535,340 "," 12,655,594 ",Insurance Agencies and Brokerages,68%
738,624120, 31 ," 1,719 "," 17,435,980 "," 1,837,323 ",Services for the Elderly and Persons with Disabilities,11%
583,531120, 62 ," 1,573 "," 14,340,802 "," 5,560,709 ",Lessors of Nonresidential Buildings (except Miniwarehouses),39%
823,813410, 60 ," 1,520 "," 11,001,222 "," 1,716,251 ",Civic and Social Organizations,16%
784,811111, 316 ," 1,515 "," 13,451,424 "," 4,810,434 ",General Automotive Repair,36%
733,623210, 3 ," 1,500 "," 13,108,243 ", -   ,Residential Intellectual and Developmental Disability Facilities,0%
607,541211, 146 ," 1,423 "," 18,930,634 "," 10,292,446 ",Offices of Certified Public Accountants,54%
655,561311, 43 ," 1,397 "," 13,482,533 "," 3,913,562 ",Employment Placement Agencies,29%
83,238910, 79 ," 1,395 "," 21,222,635 "," 4,287,801 ",Site Preparation Contractors,20%
226,332710, 84 ," 1,383 "," 16,343,181 "," 5,853,237 ",Machine Shops,36%
586,531210, 420 ," 1,380 "," 14,909,335 "," 5,473,583 ",Offices of Real Estate Agents and Brokers,37%
503,485991, 21 ," 1,345 "," 8,854,157 "," 1,922,583 ",Special Needs Transportation,22%
501,485410, 10 ," 1,273 "," 8,124,863 "," 3,076,824 ",School and Employee Bus Transportation,38%
739,624190, 51 ," 1,270 "," 7,232,822 "," 3,533,919 ",Other Individual and Family Services,49%
815,812990, 278 ," 1,197 "," 6,976,341 "," 1,483,588 ",All Other Personal Services,21%
735,623312, 21 ," 1,154 "," 7,623,500 "," 3,325,044 ",Assisted Living Facilities for the Elderly,44%
729,622110, 23 ," 1,151 "," 17,561,458 "," 2,097,418 ",General Medical and Surgical Hospitals,12%
776,722310, 146 ," 1,151 "," 7,505,999 "," 2,139,702 ",Food Service Contractors,29%
711,621112, 90 ," 1,137 "," 14,198,533 "," 5,775,649 ","Offices of Physicians, Mental Health Specialists",41%
582,531110, 152 ," 1,117 "," 8,197,718 "," 4,475,980 ",Lessors of Residential Buildings and Dwellings,55%
719,621420, 24 ," 1,111 "," 12,516,600 "," 1,888,523 ",Outpatient Mental Health and Substance Abuse Centers,15%
54,236115, 196 ," 1,092 "," 12,324,593 "," 3,004,853 ",New Single-Family Housing Construction (except For-Sale Builders),24%
71,238160, 65 ," 1,033 "," 11,413,907 "," 4,239,994 ",Roofing Contractors,37%
611,541310, 91 ," 1,030 "," 11,433,874 "," 4,326,346 ",Architectural Services,38%
626,541611, 188 ," 1,011 "," 10,984,450 "," 4,218,605 ",Administrative Management and General Management Consulting Services,38%
769,713990, 60 , 988 ," 2,208,442 "," 440,526 ",All Other Amusement and Recreation Industries,20%
345,339999, 32 , 985 ," 11,359,176 "," 2,501,887 ",All Other Miscellaneous Manufacturing,22%
64,237310, 41 , 977 ," 14,962,959 "," 8,912,353 ","Highway, Street, and Bridge Construction",60%
704,611620, 98 , 977 ," 3,317,446 "," 1,004,297 ",Sports and Recreation Instruction,30%
649,541940, 55 , 962 ," 7,244,207 "," 5,833,473 ",Veterinary Services,81%
151,323111, 97 , 957 ," 9,866,743 "," 5,233,932 ",Commercial Printing (except Screen and Books),53%
709,611710, 94 , 946 ," 6,147,624 "," 3,388,989 ",Educational Support Services,55%
783,722515, 58 , 934 ," 3,555,443 "," 691,531 ",Snack and Nonalcoholic Beverage Bars,19%
590,531390, 158 , 924 ," 10,205,387 "," 5,283,475 ",Other Activities Related to Real Estate,52%
737,624110, 49 , 901 ," 4,485,859 "," 1,974,852 ",Child and Youth Services,44%
373,423830, 41 , 892 ," 11,203,573 "," 6,410,234 ",Industrial Machinery and Equipment Merchant Wholesalers,57%
724,621512, 14 , 883 ," 9,086,063 "," 2,483,140 ",Diagnostic Imaging Centers,27%
734,623220, 6 , 879 ," 7,501,780 ", -   ,Residential Mental Health and Substance Abuse Facilities,0%
622,541511, 106 , 876 ," 11,920,828 "," 5,340,025 ",Custom Computer Programming Services,45%
708,611699, 60 , 855 ," 4,023,854 "," 1,691,258 ",All Other Miscellaneous Schools and Instruction,42%
610,541219, 128 , 840 ," 5,771,192 "," 3,727,410 ",Other Accounting Services,65%
511,488510, 58 , 833 ," 8,136,114 "," 3,875,293 ",Freight Transportation Arrangement,48%
804,812113, 190 , 831 ," 4,090,446 "," 917,077 ",Nail Salons,22%
66,238110, 86 , 824 ," 7,936,558 "," 2,813,182 ",Poured Concrete Foundation and Structure Contractors,35%
638,541810, 77 , 813 ," 10,000,353 "," 4,469,020 ",Advertising Agencies,45%
721,621493, 9 , 802 ," 6,004,186 "," 2,266,072 ",Freestanding Ambulatory Surgical and Emergency Centers,38%
374,423840, 35 , 801 ," 9,248,509 "," 3,641,453 ",Industrial Supplies Merchant Wholesalers,39%
628,541613, 178 , 797 ," 8,886,337 "," 6,553,664 ",Marketing Consulting Services,74%
814,812930, 8 , 797 ," 4,396,262 "," 43,528 ",Parking Lots and Garages,1%
822,813319, 24 , 795 ," 6,603,338 "," 1,497,811 ",Other Social Advocacy Organizations,23%
806,812199, 161 , 790 ," 4,471,951 "," 1,262,171 ",Other Personal Care Services,28%
695,611310, 9 , 777 ," 6,190,913 "," 1,945,511 ","Colleges, Universities, and Professional Schools",31%
517,493110, 16 , 769 ," 7,827,787 "," 960,899 ",General Warehousing and Storage,12%
788,811121, 88 , 764 ," 6,874,530 "," 2,488,919 ","Automotive Body, Paint, and Interior Repair and Maintenance",36%
77,238310, 58 , 726 ," 8,184,616 "," 4,069,979 ",Drywall and Insulation Contractors,50%
764,713910, 26 , 724 ," 3,333,924 "," 532,028 ",Golf Courses and Country Clubs,16%
812,812910, 100 , 710 ," 3,457,200 "," 1,062,925 ",Pet Care (except Veterinary) Services,31%
499,485310, 609 , 700 ," 7,295,810 "," 388,605 ",Taxi Service,5%
718,621399, 179 , 700 ," 6,771,256 "," 3,321,861 ",Offices of All Other Miscellaneous Health Practitioners,49%
336,339116, 29 , 699 ," 6,310,563 "," 1,235,909 ",Dental Laboratories,20%
434,445120, 111 , 694 ," 2,505,778 "," 1,106,645 ",Convenience Stores,44%
713,621310, 200 , 689 ," 5,119,123 "," 2,625,940 ",Offices of Chiropractors,51%
726,621910, 11 , 687 ," 4,424,205 "," 3,918,210 ",Ambulance Services,89%
247,333249, 21 , 684 ," 10,384,673 "," 2,917,766 ",Other Industrial Machinery Manufacturing,28%
78,238320, 128 , 679 ," 6,230,707 "," 1,837,432 ",Painting and Wall Covering Contractors,29%
714,621320, 82 , 678 ," 5,640,174 "," 2,570,789 ",Offices of Optometrists,46%
667,561499, 93 , 664 ," 2,851,711 "," 507,542 ",All Other Business Support Services,18%
332,339112, 16 , 663 ," 6,823,043 "," 1,489,832 ",Surgical and Medical Instrument Manufacturing,22%
810,812320, 51 , 653 ," 3,777,859 "," 1,650,127 ",Drycleaning and Laundry Services (except Coin-Operated),44%
623,541512, 72 , 650 ," 8,851,076 "," 5,066,639 ",Computer Systems Design Services,57%
285,334513, 12 , 646 ," 9,187,634 "," 1,657,653 ","Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",18%
442,446110, 32 , 642 ," 5,143,418 "," 2,127,571 ",Pharmacies and Drug Stores,41%
81,238350, 98 , 617 ," 5,716,315 "," 4,031,546 ",Finish Carpentry Contractors,71%
631,541620, 44 , 616 ," 5,197,566 "," 1,792,040 ",Environmental Consulting Services,34%
684,561990, 56 , 616 ," 3,645,711 "," 1,779,011 ",All Other Support Services,49%
757,712110, 28 , 614 ," 6,457,572 "," 2,902,599 ",Museums,45%
653,561110, 58 , 605 ," 5,314,366 "," 2,261,557 ",Office Administrative Services,43%
768,713950, 38 , 598 ," 1,874,952 "," 511,383 ",Bowling Centers,27%
736,623990, 7 , 597 ," 8,562,176 ", -   ,Other Residential Care Facilities,0%
387,424320, 11 , 589 ," 9,211,701 "," 557,274 ",Men's and Boys' Clothing and Furnishings Merchant Wholesalers,6%
441,445310, 60 , 588 ," 2,996,897 "," 1,554,124 ","Beer, Wine, and Liquor Stores",52%
360,423450, 79 , 587 ," 7,797,987 "," 3,128,244 ","Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",40%
118,312120, 21 , 587 ," 3,211,697 "," 406,524 ",Breweries,13%
722,621498, 51 , 577 ," 6,597,455 "," 1,523,563 ",All Other Outpatient Care Centers,23%
217,332322, 18 , 576 ," 7,961,092 "," 3,090,901 ",Sheet Metal Work Manufacturing,39%
588,531312, 24 , 567 ," 1,700,071 "," 851,419 ",Nonresidential Property Managers,50%
79,238330, 107 , 566 ," 6,251,687 "," 2,154,029 ",Flooring Contractors,34%
447,447110, 86 , 563 ," 2,629,612 "," 731,261 ",Gasoline Stations with Convenience Stores,28%
238,332999, 33 , 562 ," 6,598,884 "," 3,060,440 ",All Other Miscellaneous Fabricated Metal Product Manufacturing,46%
761,713110, 6 , 550 ," 1,088,364 "," 17,385 ",Amusement and Theme Parks,2%
306,336212, 7 , 547 ," 7,740,742 "," 152,828 ",Truck Trailer Manufacturing,2%
420,441320, 14 , 543 ," 5,012,901 "," 349,742 ",Tire Dealers,7%
