NAICSCode,ProjectCountyName,JobsReported,CurrentApprovalAmount,ForgivenessAmount,PAYROLL_PROCEED
111110.0,8,25,182277.0,84695.56,182265.0
111120.0,1,1,1600.0,0.0,1600.0
111130.0,1,1,20832.0,0.0,20827.0
111140.0,2,2,4416.0,0.0,4416.0
111150.0,7,25,316649.16,187664.44,297187.16
111160.0,2,2,31582.0,0.0,31582.0
111199.0,5,39,227613.32,170847.44,227609.32
111211.0,2,11,37637.0,0.0,37635.0
111219.0,14,108,736558.0,179155.74000000002,730494.0
111331.0,1,12,54445.0,0.0,54440.0
111332.0,1,3,5900.0,0.0,5900.0
111334.0,1,1,8362.0,0.0,8358.0
111411.0,1,3,28085.0,0.0,28085.0
111419.0,5,149,577385.0,81482.94,549873.0
111421.0,9,51,389793.5,184563.81000000003,378019.5
111422.0,4,23,244340.0,173804.52000000002,228010.0
111940.0,4,4,35077.07,0.0,35069.07
111998.0,14,70,391613.39,212462.0,369770.39
112111.0,3,3,39051.57,0.0,39046.57
112120.0,41,190,1516786.5000000007,880640.62,1496233.5000000007
112310.0,1,291,2742260.0,0.0,2425460.0
112340.0,1,2,17760.0,0.0,17755.0
112410.0,1,1,2479.0,0.0,2477.0
112420.0,2,2,32492.0,11722.57,32492.0
112519.0,2,42,156085.0,157276.55,119778.0
112910.0,1,3,25302.0,25495.4,25302.0
112920.0,16,32,272313.91000000003,6407.68,267304.91000000003
112990.0,8,146,577826.0,14863.98,576568.0
113210.0,2,8,72565.0,36879.59,72562.0
113310.0,6,10,130029.0,20183.56,122718.0
114111.0,1,1,6255.0,6295.44,6255.0
114210.0,1,7,52457.0,0.0,52454.0
115111.0,1,2,7500.0,0.0,7497.0
115112.0,2,5,67109.0,0.0,67107.0
115113.0,1,1,20833.0,0.0,20833.0
115114.0,1,7,208397.0,194109.43,208397.0
115115.0,1,3,25043.0,0.0,25039.0
115116.0,2,3,23607.0,22645.48,23605.0
115210.0,12,47,199028.5,54722.71000000001,187691.5
115310.0,5,27,239650.83,0.0,238547.83
211120.0,1,37,500515.0,0.0,500515.0
212210.0,1,11,83732.0,0.0,83732.0
212222.0,1,1,20833.0,0.0,20833.0
212312.0,1,30,500000.0,0.0,500000.0
212321.0,6,146,2704138.62,6032.28,2235137.62
213111.0,3,22,311800.0,188530.47999999998,304577.0
213112.0,4,22,280772.5,61452.54,280094.5
213113.0,2,2,41666.0,0.0,41666.0
221111.0,3,10,69657.5,62047.91,69654.5
221114.0,5,46,508708.67,0.0,498529.67
221115.0,2,17,112907.0,81860.1,112904.0
221118.0,4,66,817810.0,0.0,817807.0
221122.0,3,7,88335.0,72297.40000000001,72335.0
221210.0,4,61,1173298.32,415683.77,1070498.32
221310.0,5,50,677277.5,0.0,666821.5
236115.0,196,1092,12324592.53,3004852.940000001,12007548.04
236116.0,24,222,1650631.67,1092838.13,1614965.67
236117.0,20,155,1543609.07,1378240.7300000002,1417179.51
236118.0,400,1983,16595844.229999997,4990534.51,15791171.064999998
236210.0,36,470,7481370.0,4003002.08,7107073.5
236220.0,200,2968,37701399.849999994,10960459.149999997,36316531.849999994
237110.0,28,236,3878509.0,1765366.0400000003,3742043.0
237120.0,1,41,419592.0,423638.48,419592.0
237130.0,8,60,716244.0,201152.09,683380.0
237210.0,7,32,435452.02,308682.64999999997,423992.02
237310.0,41,977,14962959.27,8912352.709999999,13861157.27
237990.0,27,380,7027941.32,2787777.9699999997,6318499.32
238110.0,86,824,7936557.9799999995,2813182.1999999997,7690118.51
238120.0,8,134,1963105.0,335182.15,1631989.0
238130.0,22,225,2130424.0,812159.53,2080063.0
238140.0,47,319,4604180.249999999,1260809.84,4475079.76
238150.0,18,298,3653433.75,2474249.61,3519155.75
238160.0,65,1033,11413906.78,4239994.230000001,10934401.78
238170.0,12,82,492530.9,120085.23000000001,471548.9
238190.0,16,112,1065867.0,805347.0599999998,1003960.0
238210.0,186,2739,38207275.67000001,8849174.97,36562308.27
238220.0,268,3210,46087499.13000001,19559346.050000012,42942613.13000001
238290.0,19,336,4091613.0,1207772.2499999998,4024511.0
238310.0,58,726,8184616.0,4069978.8600000003,7966357.5
238320.0,128,679,6230707.399999999,1837432.26,6140882.649999999
238330.0,107,566,6251686.92,2154028.7899999996,6060017.92
238340.0,8,77,928145.5,14235.01,927567.5
238350.0,98,617,5716315.199999999,4031546.119999999,5665214.199999999
238390.0,50,384,4558187.78,2761884.8700000006,4001855.97
238910.0,79,1395,21222634.55,4287801.449999999,20300351.55
238990.0,221,2861,35651734.65,10551538.18,34076158.765
311111.0,3,5,38432.0,15917.19,38428.0
311119.0,3,402,4279435.0,97747.4,4258086.0
311211.0,1,6,33098.1,33400.06,33098.1
311213.0,2,4,28440.0,7677.86,28436.0
311224.0,1,1,20835.0,0.0,15626.25
311340.0,4,346,3541717.0,1987919.21,3541715.0
311351.0,5,150,441645.42,88891.27,429354.42
311352.0,4,387,3386551.0,1964788.4000000001,2789999.0
311412.0,6,131,1384241.25,1193724.72,1367448.68
311421.0,2,6,22860.0,0.0,16056.0
311423.0,2,20,145797.0,0.0,145789.0
311511.0,2,532,8707400.0,0.0,8707400.0
311520.0,2,422,5184170.0,0.0,5184169.0
311611.0,1,82,1607972.0,1621584.69,1607972.0
311612.0,3,453,4855603.0,0.0,4854353.0
311613.0,1,33,390441.0,0.0,390441.0
311615.0,4,88,547249.0,366856.43,488399.0
311710.0,1,15,207900.0,209056.27,207900.0
311811.0,44,365,1743337.86,829498.58,1675988.86
311812.0,9,179,1764032.0,1759206.44,1351697.0
311813.0,2,2,22372.0,0.0,22369.0
311821.0,3,17,65889.0,29900.91,65889.0
311830.0,1,92,835165.0,841914.96,595869.0
311911.0,1,10,72250.0,0.0,72250.0
311919.0,4,41,372131.3,187236.71,320727.3
311920.0,14,154,1174229.0,620029.55,1171910.0
311930.0,1,79,883150.0,0.0,755150.0
311941.0,3,42,501272.0,194621.9,462125.0
311991.0,17,307,1535981.07,216720.21,1482778.07
311999.0,15,91,882636.0,418082.77999999997,823717.0
312111.0,2,12,83824.5,43817.66,83822.5
